Date,ACA.PA,AI.PA,AIR.PA,BNP.PA,CS.PA,DG.PA,EL.PA,KER.PA,MC.PA,OR.PA,RMS.PA,SAF.PA,SAN.PA,SU.PA,TTE.PA,^FCHI
2020-01-03,-0.006067609379569183,-0.0031570750778268097,0.003894608460775384,-0.011944868782703066,0.00039275402394522985,-0.006209856427015548,-0.0032919720519052342,0.004849872200115124,-0.0001193835537472987,-0.0011356644990951903,0.006557270728149156,0.0029069110116286545,0.006207103600947006,-0.0025788345801828205,0.01134193877843126,0.0004403138707274046
2020-01-06,-0.009919855524318066,-0.0067299600952474,-0.004327064668103953,-0.004911245088652927,-0.013152723430617796,-0.005039310128837848,-0.0011009274764024468,-0.016808348402509887,-0.009424798852432081,-0.0034103628488411086,-0.00829134492228134,-0.011231817747307304,0.006279029295093386,-0.001292937787101045,0.0144810997969822,-0.005057826349685435
2020-01-07,-0.0023121667312059335,-0.004384345510238474,-0.01093960260140292,-0.0003797472114906997,0.006166721106518169,-0.006888239317690559,0.006980162841060844,0.009309527099553794,0.0020473726262761893,-0.012927716204876094,0.012541240127071474,0.009160817593255821,-0.003503115756560704,-0.004099011524286933,-0.00654232645881847,-0.00020615740779839076
2020-01-08,0.0046350504719103736,0.0008007469331616779,0.018030232078899644,0.002278938927347207,-0.0003954997305428698,0.019175947362899848,0.013498659987990269,0.0016768991852682547,0.006730682504391572,0.006163391581303079,0.008846898558749317,-0.0014524576900654118,0.00340541136384509,0.0025995986423181794,0.0025942149716691176,0.0031019321963670077
2020-01-09,0.0007689083540429742,0.003999952005209861,0.0040185774036725075,-0.00719968573522578,-0.00118665168983767,-0.010008204686485556,0.01619885305940927,-0.0023435861665718205,0.013610413611618855,0.006125445834474386,0.004092587140171577,0.014181801556837126,0.007225869524680073,-0.00821098303937251,-0.005573125433176895,0.0019150729045762649
2020-01-10,-0.010756769646593334,0.002390343743166712,-0.003705897965118554,-0.004580183489526379,0.004158321042312618,0.005054787439050523,-0.001062769198768354,-0.006377100119430379,-0.0020025153323897094,0.0041856962990924895,0.0029110661490769907,-0.006812338365908555,0.007826034569919038,0.003703775719904323,-0.0035028235038054856,-0.0009002724978832699
2020-01-13,-0.0015534531175913635,0.003577294331476466,0.005207308358388563,-0.004409543319469633,-0.0007887610815506818,0.003218605032502264,-0.015602918770697638,0.0028712374753210312,0.007317599747215464,-0.005305015879434771,0.0008706724785219055,-0.007581499746866949,-0.007010308635301388,-0.0030389625753851623,-0.004519477311340725,-0.00016062761560764471
2020-01-14,0.005056386783955924,0.005940440581993833,-0.00014777036006008437,0.00462153348616523,-0.025656235830915475,0.006617320926492143,0.007564788415978407,0.003049174698210644,0.009958996957614819,0.004952281568307626,0.014501206093094465,0.0010915269169198272,-0.00868904100396084,0.008273648536474276,-0.008070862751998531,0.0007869267267512914
2020-01-15,-0.011996868512379355,-0.00157476813402313,-0.006217675072971218,-0.02319335422310287,-0.02045764845887621,0.0014939676695790993,0.01608881532641071,0.004222226588619371,0.0010441299293328932,0.021228235213704094,0.012864700346490121,0.011991397287759886,0.00493035363279315,-0.0030233065726980035,-0.011798217971625835,-0.001370704192610539
2020-01-16,0.000783364921101315,0.004337504016547422,-0.00640547912352063,-0.007260588649667277,0.0008270899346534133,-0.0009946830035468812,0.0,0.017659124282084493,0.0010428068710754967,0.0014847655472647325,0.004798069145518724,0.012567167565084247,-0.0011993220236383717,0.003032474673309471,0.004322466670273251,0.0010642030597860508
