Date,ACA.PA,AI.PA,AIR.PA,BNP.PA,CS.PA,DG.PA,EL.PA,KER.PA,MC.PA,OR.PA,RMS.PA,SAF.PA,SAN.PA,SU.PA,TTE.PA,^FCHI
2020-01-02,8.961939811706543,93.45242309570312,122.49593353271484,37.87433624267578,18.182151794433594,79.6178207397461,122.4815444946289,514.5966796875,380.11627197265625,242.35858154296875,634.2945556640625,132.26263427734375,71.40930938720703,81.93768310546875,33.182525634765625,6041.5
2020-01-03,8.907563209533691,93.15738677978516,122.97298431396484,37.421939849853516,18.189292907714844,79.12340545654297,122.07835388183594,517.0922241210938,380.07098388671875,242.08334350585938,638.4537963867188,132.64710998535156,71.85255432128906,81.72637176513672,33.55888748168945,6044.16015625
2020-01-06,8.819201469421387,92.53044128417969,122.4408950805664,37.23815155029297,17.950054168701172,78.72467803955078,121.94396209716797,508.40093994140625,376.4888000488281,241.2577667236328,633.16015625,131.1572265625,72.30370330810547,81.62071228027344,34.04484939575195,6013.58984375
2020-01-07,8.798810958862305,92.12476348876953,121.1014404296875,37.22400665283203,18.060747146606445,78.18240356445312,122.79513549804688,513.1338500976562,377.25970458984375,238.1388397216797,641.1006469726562,132.35874938964844,72.05042266845703,81.28612518310547,33.82212448120117,6012.35009765625
2020-01-08,8.839592933654785,92.19851684570312,123.28492736816406,37.308837890625,18.053604125976562,79.68162536621094,124.45272827148438,513.9942016601562,379.7989196777344,239.6065673828125,646.7725830078125,132.16650390625,72.29578399658203,81.49744415283203,33.90987014770508,6031.0
2020-01-09,8.846390724182129,92.56731414794922,123.78034973144531,37.040225982666016,18.032182693481445,78.8841552734375,126.46868896484375,512.7897338867188,384.9681091308594,241.0742645263672,649.4192504882812,134.04086303710938,72.81818389892578,80.82828521728516,33.720882415771484,6042.5498046875
2020-01-10,8.75123119354248,92.78858947753906,123.32162475585938,36.87057876586914,18.10716438293457,79.28290557861328,126.33429718017578,509.51959228515625,384.197265625,242.08334350585938,651.3099365234375,133.1277313232422,73.3880615234375,81.12763977050781,33.60275650024414,6037.10986328125
2020-01-13,8.73763656616211,93.1205062866211,123.96382904052734,36.70798873901367,18.092884063720703,79.5380859375,124.3631362915039,510.9825439453125,387.0085754394531,240.79910278320312,651.8770751953125,132.11842346191406,72.87358856201172,80.88111114501953,33.450897216796875,6036.14013671875
2020-01-14,8.781818389892578,93.6737060546875,123.94549560546875,36.87764358520508,17.62868881225586,80.06440734863281,125.30390930175781,512.5407104492188,390.86273193359375,241.99160766601562,661.3299560546875,132.26263427734375,72.24038696289062,81.55027770996094,33.180912017822266,6040.89013671875
2020-01-15,8.67646312713623,93.52617645263672,123.17481994628906,36.0223274230957,17.26804542541504,80.18402099609375,127.31987762451172,514.7047119140625,391.2708740234375,247.12864685058594,669.8377075195312,133.8486328125,72.59656524658203,81.3037338256836,32.78943634033203,6032.60986328125
2020-01-16,8.683259963989258,93.9318618774414,122.3858413696289,35.760780334472656,17.282329559326172,80.10426330566406,127.31987762451172,523.7938842773438,391.678955078125,247.49557495117188,673.0516967773438,135.53074645996094,72.50948333740234,81.55027770996094,32.93117904663086,6039.02978515625
2020-01-17,8.747832298278809,95.44391632080078,125.48676300048828,35.87387466430664,17.407302856445312,81.65931701660156,129.64942932128906,528.2086181640625,398.1630859375,252.5408935546875,685.90771484375,137.0206298828125,72.96856689453125,82.95904541015625,32.73881912231445,6100.72021484375
2020-01-20,8.707050323486328,95.03823852539062,126.51429748535156,35.69009780883789,17.478717803955078,81.42005920410156,128.03668212890625,518.5135498046875,389.72918701171875,251.62356567382812,677.7783203125,136.63613891601562,72.7390365600586,82.74773406982422,32.78268814086914,6078.5400390625
2020-01-21,8.67646312713623,95.6651840209961,125.13814544677734,35.49216842651367,17.532278060913086,81.49980926513672,127.99187469482422,507.7796325683594,385.3761901855469,248.32122802734375,670.4049072265625,136.49195861816406,72.31161499023438,82.41314697265625,32.4755859375,6045.990234375
2020-01-22,8.58470344543457,95.5545425415039,126.58769226074219,35.40027618408203,17.41801643371582,80.46314239501953,125.66230010986328,512.627197265625,384.01593017578125,246.76171875,672.2955322265625,134.80984497070312,70.34078216552734,81.86724853515625,32.26296615600586,6010.97998046875
2020-01-23,8.489543914794922,94.81695556640625,124.58769226074219,35.31191635131836,17.243051528930664,80.82199096679688,124.72151184082031,496.35333251953125,373.58685302734375,244.9270782470703,665.678466796875,136.5880889892578,70.60989379882812,81.46222686767578,31.938997268676758,5971.7900390625
2020-01-24,8.547319412231445,96.32901000976562,127.52349090576172,35.28010940551758,17.360885620117188,81.65931701660156,124.54232788085938,496.2667236328125,377.53167724609375,248.1377716064453,672.1064453125,141.29800415039062,70.53074645996094,82.95904541015625,31.982868194580078,6024.259765625
2020-01-27,8.377391815185547,94.11624145507812,121.92710876464844,34.544960021972656,17.046661376953125,79.47428894042969,121.7647476196289,478.3482360839844,363.6565856933594,236.67108154296875,643.180419921875,137.9818572998047,68.62320709228516,80.66979217529297,31.122285842895508,5863.02001953125
